Designator,Mid X,Mid Y,Rotation,Layer
BT1,112.1,-71.625,180.0,bottom
C1,121.725,-82.24,0.0,top
C10,130.1,-100.7,270.0,top
C11,123.1,-75.9,180.0,bottom
C12,123.1,-77.4,180.0,bottom
C13,135.9,-86.8,270.0,top
C14,128.6,-95.1,90.0,top
C2,118.7,-78.515,90.0,top
C3,129.0,-74.9,90.0,bottom
C4,125.4,-78.94,0.0,top
C5,116.8875,-80.465,270.0,top
C6,114.2075,-82.655,0.0,top
C7,114.2075,-84.625,0.0,top
C8,134.8,-94.875,0.0,top
C9,128.6,-100.7,270.0,top
J1,135.125,-78.1,270.0,bottom
J2,120.79,-73.35,90.0,bottom
J3,104.8,-94.615,180.0,bottom
L1,112.3875,-80.365,270.0,top
Q1,117.0,-77.5,270.0,bottom
R1,134.4,-76.8,0.0,top
R10,128.8,-87.0,90.0,top
R11,133.1,-91.6,0.0,top
R12,111.65,-95.43,180.0,top
R13,111.65,-93.97,180.0,top
R14,135.9,-89.8,270.0,top
R15,130.3,-87.0,270.0,top
R16,134.8,-93.375,0.0,top
R17,129.35,-97.9,180.0,top
R18,118.45,-90.85,180.0,top
R19,118.45,-89.35,180.0,top
R2,134.4,-79.4,0.0,top
R20,123.95,-90.85,0.0,top
R21,133.1,-84.95,180.0,top
R22,111.65,-98.65,180.0,top
R23,111.65,-97.15,180.0,top
R3,125.4,-80.44,0.0,top
R4,118.7,-81.94,90.0,top
R5,114.9375,-78.035,180.0,top
R6,125.4,-81.94,180.0,top
R7,108.825,-79.925,90.0,top
R8,117.0,-80.5,180.0,bottom
R9,117.0,-82.0,180.0,bottom
SW1,134.8,-98.9,90.0,top
SW2,107.1,-78.1,270.0,bottom
U1,127.7125,-78.1,180.0,bottom
U2,121.7,-79.24,180.0,top
U3,114.6875,-80.2675,180.0,top
U4,120.8,-97.5,180.0,top
U5,133.1,-88.3,0.0,top
